Accession	Submission Date	Title	Number of Raw Files
PXD002658	2015-08-04	Lens Disulfide crosslink -  Evidence of highly conserved β-crystallin disulfidome that can be mimicked by in vitro oxidation in age-related human cataract and glutathione depleted LEGSKO mouse lens	56
PXD013018	2019-07-25	XL-MS and Native MS for CSN-CRL2 complexes	55
PXD027917	2021-08-13	A proximity interactome map of the VAC14-FIG4 complex using BioID	55
PXD039717	2023-01-27	Prohibitin cross-linked aided interactome in yeast	55
PXD008161	2018-07-20	Development of in planta chemical cross-linking-based quantitative interactomics in Arabidopsis	54
PXD017241	2020-01-22	Definition of the fibroblast adhesome using multiplexed proximity biotinylation	54
PXD015982	2019-10-23	Alterations in Extracellular Matrix Composition during Aging and Photoaging of the Skin	54
PXD018451	2020-04-09	PolyQ-expansion does not alter the huntingtin-HAP40 complex	54
PXD021809	2020-10-05	Identification of proximal SUMO-dependent interactors using SUMO-ID	54
PXD029505	2021-11-02	Site-Link for identification of chromatinized proteome defined by site-specific histone acylations in living cells	54
PXD027954	2021-08-16	Substrate profiling of mitochondrial caseinolytic protease P via a site-specific photocrosslinking approach	54
PXD048452	2024-01-11	Deciphering Diazirine Reaction Mechanism: through Irradiation Modulation for Residue-Specific Distance Restraints in Protein Photo-Crosslinking	54
PXD008831	2018-02-01	DNA replication regulates SPRTN- and Proteasome-dependent DPC proteolysis	53
PXD014771	2019-07-26	Customizing functionalized cofactor mimics to study the human pyridoxal 5'-phosphate-binding proteome	53
PXD017066	2020-01-10	Improving identification of in-organello protein-protein interactions using an affinity-enrichable, isotopically-coded, and mass spectrometry-cleavable chemical crosslinker	53
PXD020826	2020-08-10	A2ML1's and A2M's reactivity towards glycine and glycerol, A2ML1 crosslinking to thermolysin	53
PXD025328	2021-04-13	Structural basis of human transcription-DNA repair coupling	53
PXD008605	2018-01-08	Cryo-EM structure of the full human PRC2 and regulation by AEBP2 and JARID2	52
PXD007094	2017-11-02	Small molecule interactome mapping by photo-affinity labeling (SIM-PAL)	52
PXD009040	2018-02-26	A SUMO-mediated protective response to DNA-protein crosslinks	52
PXD012592	2019-10-08	The ubiquitin-like modifier FAT10 interferes with SUMO activation	52
PXD022335	2021-06-07	Cell-type and subcellular compartment-specific APEX2 proximity labeling reveals activity-dependent nuclear proteome dynamics in the striatum	52
PXD027234	2021-07-12	Cross-linking/Mass Spectrometry Combined with Ion Mobility on a timsTOF Pro Instrument for Structural Proteomics	52
PXD026866	2021-06-22	A molecular network of conserved factors keeps ribosomes dormant in the egg	52
PXD035201	2022-07-09	Chemical proteomics with novel fully functionalized fragments and stringent target prioritization identifies the glutathione-dependent isomerase GSTZ1 as a lung cancer target	52
PXD050929	2024-03-24	Identification of XL peptides in Bik1 variants and different conditions	52
PXD054757	2024-08-09	Cross-linking mass spectrometry analysis of human BCL7A and BAF47 in presence and absence of nucleosome	52
PXD061667	2025-03-11	Crosslinking/mass spectrometry analysis of Human Separase-Scc1-fusion and cohesin SMC1/SMC3 complexes	52
PXD003593	2016-02-09	Identification of Host factors that Interact with Dengue virus RNA in cell culture	51
PXD024622	2021-03-10	Proteomics as a Tool to Gain Next Level Insights into Biopolymer Modifications	51
PXD035764	2022-08-02	Employing non-targeted interactomics approach and subcellular fractionation to increase our understanding of the ghost proteome	50
PXD012494	2019-08-16	Proximity-dependent proteomics of the Chlamydia trachomatis inclusion membrane (revised)	49
PXD060322	2025-01-29	Utilization of high-resolution mass spectrometry and data-independent analysis to track the monoclonal antibody spatial stability	49
PXD063145	2025-04-21	APPLE-MS: A modular affinity purification-mass spectrometry method assisted by PafA- mediated proximity labeling	49
PXD013209	2019-03-25	Homeostatic and Interferon-induced gene expression represent different states of promoter-associated transcription factor ISGF3	48
PXD003381	2015-12-21	Structural Analysis of a Prokaryotic Ribosome Using a Novel Amidinating Cross-Linker and Mass Spectrometry	48
PXD004044	2016-04-25	Comparison of hair bundle proteomes from WT and Pls1-knockout mouse utricles	48
PXD002992	2016-04-26	Fly RBPome - Early embryogenesis is characterized by the maternal to zygotic transition (MTZ), in which maternally deposited messenger RNAs are translated and subsequently degraded while zygotic transcription begins	48
PXD011459	2019-02-01	Sequential digestion with Trypsin and Elastase in cross-linking/mass spectrometry	48
PXD013907	2019-05-17	The dynamic configuration and phosphorylation of the C-terminal HEAT domain of huntingtin modulates its function	48
PXD026790	2021-06-18	Evaluation of mass spectrometry MS/MS spectra for the presence of isopeptide crosslinked peptides	48
PXD029729	2021-11-12	In-depth mass spectrometry-based proteomics of formalin-fixed, paraffin embedded tissues with a spatial resolution of 50–200 µm	48
PXD020636	2020-07-29	A structural mechanism for PP2A-B56alpha inhibition by CIP2A	48
PXD029591	2021-11-05	Intact extracellular vesicle cross-linking on vesicles derived from  MDA-MB-231 and LM2 cells	48
PXD033846	2022-05-12	APEX2 proximity labeling of PI(3)P dependent ER and early endosome membrane contact tether proteins	48
PXD038487	2022-12-01	GID4-dependent proteome and interactome	48
PXD036649	2022-09-12	Analysis of bilirubin-induced bovine serum albumin stability using protein denaturation and quantitative cross-linking mass spectrometry	48
PXD052930	2024-06-07	Dynamic Changes in the Proximitome of Neutral Sphingomyelinase-2 (NSM2) in TNFα Stimulated Jurkat Cells	48
PXD058327	2024-11-27	The PRC1 and PRC2 proximal interactome	48
PXD052310	2024-05-16	A proteomic and functional view of intrabacterial lipid inclusion biogenesis in mycobacteria	48
PXD055141	2024-08-23	Interaction proteomics of wildtype SLC16A6 (MCT7) and phospho-variants	48
PXD060086	2025-01-22	Plectin-mediated cytoskeletal crosstalk as a target for inhibition of hepatocellular carcinoma growth and metastasis – subcellular in vitro profiling	48
PXD057245	2024-10-28	Dysfunctional mitochondria trap proteins in the intermembrane space - Data set 1: proximity labelling	48
PXD060469	2025-02-04	Elucidating PTEN Conformational Dynamics and Phosphatase Regulation via Integrative Modeling and Mutation Prediction	48
PXD061935	2025-03-17	Novel chemotherapy selectively induces double-strand DNA breaks and death in naïve and Cisplatin-resistant cholangiocarcinoma tumours - total proteomics and phosphoproteomics	48
PXD012225	2019-01-03	Molecular Mapping of FXIIIa Crosslinks	47
PXD018580	2020-04-15	Tranylcypromine specificity for monoamine oxidase is limited by promiscuous protein labelling and lysosomal trapping	47
PXD027953	2021-08-17	Novel roles for ribosomal histidine methylation revealed by proteomics and large-scale cross-linking mass spectrometry	47
PXD031833	2022-02-22	TTYH family members form tetrameric complexes at the cell membrane	47
PXD040562	2023-03-03	Astrocytes express aberrant immunoglobulins as putative gatekeeper of astrocytes to neuronal progenitor conversion	47
PXD005758	2017-01-21	A method for spatially and temporally resolved protein network interrogation in living cells	46
PXD011931	2018-12-04	PhoX - An IMAC-enrichable Crosslinking Reagent	46
PXD014584	2019-08-21	Yeast Nuclear Large Scale Cross-linking MS	46
PXD033528	2022-07-20	A Conformation specific Nanobody Targeting the NMN-activated State of SARM1	46
PXD040267	2023-02-20	Light-induced orthogonal fragmentation of crosslinked peptides	46
PXD055488	2024-09-03	Proteome-wide non-cleavable crosslink identification with MS Annika 3.0 reveals the structure of the C. elegans Box C/D complex	46
PXD054551	2024-08-03	Trioxane-based MS-cleavable Cross-linking Mass Spectrometry for Profiling Multimeric Interactions of Cellular Networks	46
PXD010895	2018-12-06	Non-covalently associated peptides are observed during liquid chromatography-mass spectrometry and affect cross-link analyses	45
PXD000513	2014-06-02	Photo-cross-linking mass spectrometry for single amino acid assignment of RNA-binding sites in RNA-binding proteins	45
PXD010921	2018-08-29	Identification of CTPS1 Filament Interacting Proteins	45
PXD018679	2020-04-20	Solute carrier family 12 member 2 as a proteomic and histological biomarker of dysplasia and neoplasia in ulcerative colitis	45
PXD022697	2020-11-24	Characterization of R-loop-interacting proteins in embryonic stem cells reveals roles in ribosomal RNA processing and gene expression	45
PXD031946	2022-03-16	A non-hazardous deparaffinization protocol enables quantita-tive proteomics of core needle biopsy-sized formalin-fixed and paraffin embedded (FFPE) tissue specimens.	45
PXD032386	2022-03-18	A reliable approach for pure Yeast Cell Wall protein isolation from Saccharomyces cerevisiae yeast cells	45
PXD053578	2024-07-02	Merlin S13 phosphorylation controls meningioma Wnt signaling and magnetic resonance imaging features	45
PXD049991	2024-02-21	Distinct interactomes of ADAR1 nuclear and cytoplasmic protein isoforms and their responses to Interferon induction	45
PXD055305	2024-08-29	Comparison of MSA with PD/DLB alpha-synuclein pathology using proximity proteomics	45
PXD045861	2023-10-02	Myelin-axon interface disruption uncovered by subcellular proteomics and imaging of Alzheimer’s human brain	45
PXD061563	2025-03-07	Employing Expression-Matched Controls Enables High Confidence Proximity-Based Interactome Classification ( Dataset 3)	45
PXD056561	2024-10-07	GAIN domain cleavage of aGPCRs requires multiple domain-extrinsic factors coordinated by the 7TM region	45
PXD065869	2025-07-07	Expanding the crosslinking mass spectrometry toolbox with vinyl sulfone crosslinkers	45
PXD002234	2015-12-18	Influenza Polymerase Can Adopt an Alternative Configuration Involving a Radical Repacking of PB2 Domains	44
PXD056510	2024-10-04	STRUCTURE OF APOLIPOPROTEIN B100 BOUND TO LOW-DENSITY LIPOPROTEIN RECEPTOR	44
PXD051423	2024-04-13	STRUCTURE OF APOLIPOPROTEIN B100 BOUND TO LOW-DENSITY LIPOPROTEIN RECEPTOR (SDA XL DATA)	44
PXD068129	2025-09-05	On the feasibility of clinical studies with cross-linking mass spectrometry	44
PXD004736	2017-09-28	Biotinylation by antibody recognition - A novel method for proximity labeling	43
PXD037652	2022-10-24	Real-time library search assisted identification of cross-links increases resolution for structural modeling and interactome mapping	43
PXD063825	2025-05-10	Trioxane-based MS-cleavable Cross-linking Mass Spectrometry for Profiling Multimeric Interactions of Cellular Networks	43
PXD022002	2020-10-15	Structure of the human signal peptidase complex	42
PXD030072	2022-04-07	Time-resolved proximity labeling of protein networks associated with ligand-activated EGFR	42
PXD029392	2021-10-28	Novel RNA-binding Proteins Bind U1 snRNA to Promote Splicing of Weak 5' Splice Sites	42
PXD043732	2023-07-12	Profiling nuclear cysteine ligandability and effects on nuclear localization using proximity labeling-coupled chemoproteomics  	42
PXD046382	2023-10-25	Cross-link assisted spatial proteomics to map sub-organelle proteomes and membrane protein topology	42
PXD062557	2025-04-03	WAGO-4 Localization to Germ Granules Is Important for Its Accurate Small RNA Loading	42
PXD027488	2021-07-22	Cell type-specific in vivo proximity labeling of the neuronal proteome reveals regional differences in mouse brain.	41
PXD028561	2021-10-13	Glucose dissociates DDX21 dimers to regulate mRNA splicing and promote epidermal differentiation	41
PXD015989	2019-10-23	Molecular architecture of photoreceptor phosphodiesterase (PDE6) with activated G protein elucidates the mechanism of visual excitation	40
PXD008914	2018-02-09	RNA-binding protein repertoire of embryonic stem cells	40
PXD021947	2020-10-13	Mechanism and function of DNA replication-independent DNA-protein crosslink repair via the SUMO pathway	40
PXD011625	2018-11-08	MINA-1 and WAGO-4 are part of regulatory network coordinating germ cell death and RNAi in C. elegans	40
PXD023277	2020-12-22	The host  targets of SARS-CoV-2 protein NSP5	40
PXD017344	2020-01-31	Proximity-dependent biotin identification (BioID) reveals a dynamic LSD1-CoREST interactome during embryonic stem cell differentiation	40
PXD037255	2022-10-10	A gephyrin-like protein links cell division and polar elongation in Corynebacteriales	40
PXD050222	2024-02-28	Neuronal activity rapidly reprograms dendritic translation via eIF4G2:uORF binding	40
PXD049375	2024-02-14	A germline PAF1 paralog complex ensures cell type-specific gene expression (proximity labeling data)	40
PXD031643	2022-02-13	Age induced interactome remodeling in muscle mitochondria	40
PXD050930	2024-03-24	Identification of PDH XL peptides in Bik1 at different conditions	40
PXD062741	2025-04-08	Sub-cellular in vivo cardiac proteomics of sarcomere and ribosome interactomes identifies skeletal NACA's role in mitochondrial protein sorting.	40
PXD010850	2018-08-23	Translocase of the Outer Membrane (TOM complex) of hydrogenosomes in Trichomonas vaginalis	39
PXD019329	2020-05-21	Separation and Paired Proteome Profiling of Plant Chloroplast and Cytoplasmic Ribosomes	39
